OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,SHAPE_Length,SHAPE_Area,FIRE_TYPE
4028,5588,CA3655011744919840630,UNNAMED,1984,6,30,38148.3868225083,35107353.0463609,Unknown
4029,2367,CA3655211908319901008,GRAPEVINE,1990,10,8,16684.8249627305,14873930.2936871,Wildfire
4030,3515,CA3656511897419960901,SHADE  1/4,1996,9,1,22612.8812703959,22090847.5545444,Prescribed Fire
4031,1942,CA3656512122619990817,ZEGREGEN,1999,8,17,26783.6023214766,12209606.6692736,Prescribed Fire
4032,1160,CA3684512080419950508,NEES,1995,5,8,14108.5485953344,7342289.72839479,Wildfire
4033,4351,CA3684611939119870831,RED MOUNTAIN,1987,8,31,26959.7739922867,27546404.7400271,Wildfire
4034,28447,CA3684811827920070706,INYO COMPLEX (OAK),2007,7,6,136283.703148075,180111240.256764,Wildfire
4035,3433,CA3685211871219970806,CHOKE,1997,8,6,29285.5304983889,21735054.9404407,Wildfire
4036,16993,CA3686312082419960618,MERCY,1996,6,18,83565.1477620911,107633605.499777,Wildfire
4037,2932,CA3728011858420090718,FORKS,2009,7,18,28740.4896122591,18776641.0279129,Wildfire
4038,5990,CA3728211950220150725,WILLOW,2015,7,25,40130.2232230029,38356737.1818997,Wildfire
4039,4968,CA3767511978320140726,EL PORTAL,2014,7,26,29384.8385450305,32178653.096253,Wildfire
4040,1418,CA3767611948419880818,ALASKA,1988,8,18,16197.3796624611,9177982.14588202,Wildland Fire Use
4041,5522,CA3767611954520040701,MEADOW COMPLEX (MEADOW),2004,7,1,39924.2454870451,35734490.1678326,Wildland Fire Use
4042,6344,CA3767712151320060711,MIDWAY,2006,7,11,48479.0513884286,41067536.0133549,Wildfire
4043,5952,CA3768511970219900807,STEAMBOAT,1990,8,7,32778.2090890098,38525380.4089766,Wildfire
4044,1229,CA3656911816319890330,OLIVAS II,1989,3,30,17540.6562874955,7725218.78481145,Wildfire
4045,2373,CA3657311903619890822,BEAR MTN VMP,1989,8,22,20806.8946337101,14917868.1140406,Prescribed Fire
4046,14760,CA3657512062719960427,PANOCHE II,1996,4,27,65428.1520996904,92799430.6743735,Wildfire
4047,1614,CA3659111879319921004,SUWANEE R,1992,10,4,19432.1634000141,10154449.9449365,Prescribed Fire
4048,1106,CA3686512120119920501,UNNAMED,1992,5,1,17907.5218039449,7006900.1687887,Wildfire
4049,10963,CA3687111893619860909,DEER,1986,9,9,75252.4331920853,69454933.1516676,Wildfire
4050,146370,CA3687411890520150801,ROUGH,2015,8,1,324391.992469244,926504446.309486,Wildfire
4051,1454,CA3687711901119880830,GARNET,1988,8,30,13467.5015418856,9210067.87220093,Wildfire
4052,1101,CA3687712096320030630,I-5,2003,6,30,14161.6586678476,6978243.04557548,Wildfire
4053,6126,CA3687811884419880724,OBELISK,1988,7,24,48347.4300345218,38814483.395542,Wildfire
4054,1788,CA3687811925919980917,OAT MT,1998,9,17,21138.9577872989,11327787.2996124,Prescribed Fire
4055,1162,CA3728211985320050702,BAILEY,2005,7,2,15111.3234233746,7439772.07204449,Wildfire
4056,1873,CA3729712160119941114,LEDEIT,1994,11,14,17457.6235183272,11999522.5070596,Prescribed Fire
4057,2830,CA3730112131619951022,ORESTIMBA,1995,10,22,37065.3796364695,18133932.8376642,Wildfire
4058,3353,CA3731712157719951016,ISABEL,1995,10,16,28607.1765580802,21490851.95828,Prescribed Fire
4059,3126,CA3732012138019931018,SHEEP THIEF,1993,10,18,21759.5152632583,20037824.4441132,Prescribed Fire
4060,3087,CA3768711968620090530,GROUSE,2009,5,30,25285.4885304193,19979789.0794197,Wildfire
4061,1413,CA3769212044420080610,LAGRANGE,2008,6,10,20991.3139947347,9145890.24767062,Wildfire
4062,17776,CA3770211978619900807,A-ROCK,1990,8,7,58210.1523900638,115108437.937909,Wildfire
4063,3096,CA3770411954219910924,ILL,1991,9,24,31972.1305642172,20047912.9278128,Wildfire
4064,3703,CA3660311882920080910,HIDDEN,2008,9,10,21705.5980811736,23298283.2132016,Wildfire
4065,1298,CA3662312097919850526,BUMB,1985,5,26,19347.6443871782,8174022.97457225,Wildfire
4066,1716,CA3663112067819960415,PANOCHE,1996,4,15,19513.4943576167,10806956.0017308,Wildfire
4067,1324,CA3665612136520011010,MCPHAILS PEAK VMP,2001,10,10,18142.7086360132,8343110.41453011,Prescribed Fire
4068,2162,CA3665712135720090618,MCPHALIS VMP,2009,6,18,19941.5335674512,13620121.5249619,Prescribed Fire
4069,5005,CA3688212081319980710,MERCY,1998,7,10,32534.6075534532,31715845.9430511,Wildfire
4070,1231,CA3688312115819840705,PACHECO #2,1984,7,5,13066.9168187609,7803649.42751005,Wildfire
4071,5694,CA3689311934619960817,TRIMMER,1996,8,17,32130.3398313507,36091199.8015569,Wildfire
4072,1501,CA3692411971419970519,GROVE,1997,5,19,21822.1098592021,9520469.54815867,Wildfire
4073,2282,CA3692911924620161011,SACATA,2016,10,11,18073.2092772386,14480874.8409107,Wildfire
4074,8603,CA3693111912219890729,UNNAMED,1989,7,29,48181.3091147519,54589122.0557895,Wildfire
4075,4363,CA3771211950920140815,MEADOW,2014,8,15,35002.1874847092,28286948.3602246,Wildfire
4076,1922,CA3771612024820000702,GRANITE,2000,7,2,18238.1070759567,12453638.6790297,Wildfire
4077,1108,CA3772812166319980829,580,1998,8,29,16009.5371596128,7177206.44766306,Wildfire
4078,1556,CA3665912086319860602,PANOCHE #2,1986,6,2,19585.2491923538,9801141.65224473,Wildfire
4079,3975,CA3668612092120080622,BROWN,2008,6,22,29788.3312743758,25062998.5936217,Wildfire
4080,3878,CA3668912074319880620,LIGHTNING9,1988,6,20,28045.2732458398,24454809.6924757,Wildfire
4081,1599,CO3718510826720070708,BEAR,2007,7,8,16116.2869865256,10214541.5091524,Wildfire
4082,2369,CO3718710830120050714,TRAIL EAST,2005,7,14,38124.2941832854,15129810.1824983,Wildfire
4083,5224,CO3719710855820000802,PONY,2000,8,2,36888.0875612325,33379524.8425188,Wildfire
4084,1140,CO3868110887620030722,MAVERICK,2003,7,22,13932.482589215,7581201.87506649,Wildfire
4085,1223,CO3869310881219881022,UTE CREEK,1988,10,22,19105.2148283403,8133543.53192455,Wildfire
4086,3188,CO3869610475019980306,UNNAMED,1998,3,6,36167.211091861,21212483.2834673,Wildfire
4087,4380,CO3870410474819970322,UNNAMED,1997,3,22,28530.3651240427,29149787.4626135,Unknown
4088,1559,CO3898310819420080708,COAL CREEK WFU,2008,7,8,20837.4196078464,10455302.5533726,Wildfire
4089,6030,CO3900410902419990702,TOMS CYN,1999,7,2,81492.1713519129,40464483.8333805,Wildfire
4090,11886,CO3901210474920130611,BLACK FOREST,2013,6,11,133882.252401838,79824471.6170528,Wildfire
4091,1386,CO3907310898819990702,JONES,1999,7,2,37286.8811200482,9320036.13002963,Wildfire
4092,2092,CO4029510862519960802,THREE SPRINGS 2,1996,8,2,24227.773164041,14567685.3615355,Wildfire
4093,4342,CO4029910667420020714,GREEN CREEK,2002,7,14,41276.1191061351,30241733.9455564,Wildfire
4094,1168,CO3771710862320050911,FAR DRAW WFU,2005,9,11,16962.5400591299,7565728.15520155,Wildland Fire Use
4095,1214,CO3775610869319880717,UNNAMED,1988,7,17,22928.037672872,7868254.37880521,Unknown
4096,3642,CO3779910856319960720,DISAPPOINTMENT,1996,7,20,44024.3442413915,23647055.3503631,Wildfire
4097,5555,CO3780310310620000907,UNNAMED,2000,9,7,33695.2047968783,36067611.0247312,Unknown
4098,2386,CO3781310378320110219,SIERRAVISTA,2011,2,19,33809.9039303072,15527275.5050432,Wildfire
4099,1746,CO3913610896919990702,RABBIT VALLEY,1999,7,2,33868.1905584308,11761126.7583506,Wildfire
4100,4240,CO3920910901919940712,TWO ROAD,1994,7,12,26337.7056513648,28616855.4522007,Wildfire
4101,5142,CO3986910746520160808,LOST SOLAR,2016,8,8,42774.5047475899,35393955.8080076,Wildfire
4102,1001,CO3994710533820000915,ELDORADO,2000,9,15,14216.2517740427,6898152.44894094,Wildfire
4103,2371,CO4031910877119890628,BOX CANYON,1989,6,28,29975.505919171,16525670.9865103,Wildfire
4104,8726,CO4033910837520000724,WINTER VALLEY,2000,7,24,45791.0645251175,60849501.5333905,Wildfire
4105,4887,CO3781310546020100606,MEDANO,2010,6,6,56445.8965309524,31737730.9197267,Wildfire
4106,1014,CO3784510252120030901,UNNAMED,2003,9,1,14669.7495159328,6590935.88006621,Unknown
4107,1563,CO3797710376220110322,UNNAMED,2011,3,22,31273.6006055624,10195982.6500951,Wildfire
4108,2704,CO3799110852420000806,HAMILTON,2000,8,6,53153.5874367661,17638215.8533121,Wildfire
4109,1848,CO3799710845420030719,HAMILTON,2003,7,19,27419.8462119572,12065139.0420114,Wildfire
4110,12310,CO3800010300020110407,FT.LYONS,2011,4,7,112874.78582156,80520385.3451025,Wildfire
4111,6205,CO3802510870819860805,UNNAMED,1986,8,5,54920.7789544064,40536393.1476585,Wildfire
4112,1281,CO3803510343220020323,SANTA FE,2002,3,23,24159.3537186007,8371797.35377405,Wildfire
4113,30573,CO3806910844420020709,BURN CANYON,2002,7,9,124763.15855075,199953798.811279,Wildfire
4114,129417,CO3922010528720020608,HAYMAN,2002,6,8,383466.922875953,871963422.046957,Wildfire
4115,13863,CO3923610838820120627,PINE RIDGE,2012,6,27,57159.0237610324,93687312.4943732,Wildfire
4116,2821,CO3923710521920020522,SCHOONOVER,2002,5,22,32880.5639911595,19055173.89108,Wildfire
4117,1734,CO3925110844620110807,COSGROVE,2011,8,7,23765.9714168208,11717136.8042616,Wildfire
4118,3225,CO3996710746719940712,UTE CREEK,1994,7,12,31353.2922962988,22241861.0804345,Wildfire
4119,1193,CO3998110851520000411,BIG DUCK,2000,4,11,44394.9280952103,8232516.46463716,Wildfire
4120,6963,CO3999210816820040606,GREASEWOOD WFU,2004,6,6,59235.5368735551,48062424.6678979,Wildland Fire Use
4121,17273,CO3999910724920020719,BIG FISH,2002,7,19,94434.9052570219,119250253.348693,Wildfire
4122,1304,CO4034110867819950916,SKULL CREEK,1995,9,16,16041.645078152,9090496.95234719,Wildfire
4123,1325,CO4034910880119880717,DAVIDSON,1988,7,17,18158.5938880446,9239708.51997107,Wildfire
4124,2131,CO4035110838619940830,FRAMUS,1994,8,30,23062.302274427,14863126.0744584,Wildfire
4125,15613,CO4036010831919960803,O'PINION,1996,8,3,92870.6487322035,108935175.227515,Wildfire
4126,5769,CO3807010495520161003,BEULAH HILL,2016,10,3,52031.461182359,37731335.304499,Wildfire
4127,2496,CO3812310818320100522,BEAVER,2010,5,22,27401.8322766709,16348808.3812075,Wildfire
4128,1623,CO3813810358719991120,UNNAMED,1999,11,20,15767.9482040085,10633930.2571583,Wildfire
4129,11023,CO3816010503620050706,MASON,2005,7,6,44304.6351434265,72270549.8925125,Wildfire
4130,19023,CO3816110519920161017,JUNKINS,2016,10,17,128668.876972015,124626528.914663,Wildfire
4131,1069,CO3935510767920100507,RESERVOIR GULCH RX,2010,5,7,19037.2964623688,7248230.20363011,Prescribed Fire
4132,9792,CO3937210525219960518,BUFFALO CREEK,1996,5,18,51551.0111591414,66398423.9813341,Wildfire
4133,5685,CO3938610865019960723,HATCHET,1996,7,23,38481.2778883636,38561298.8988777,Wildfire
4134,1168,CO3940010473020110324,BURNINGTREE,2011,3,24,17535.1552523206,7926308.02941069,Wildfire
4135,1337,CO4000710827919880513,THIRTEEN,1988,5,13,21490.5667581289,9231503.79294151,Wildfire
4136,1371,CO4001210858620090728,SPRING CREEK,2009,7,28,24024.0123939673,9471983.32155882,Wildfire
4137,1416,CO4001510539719890709,SUNNYSIDE,1989,7,9,18014.2380472237,9778250.31250778,Wildfire
4138,2549,CO4036110556320121009,FERN LAKE,2012,10,9,25622.5505288313,17787582.7900383,Wildfire
4139,1397,CO4037110842619940704,ELK,1994,7,4,19042.7983236394,9747344.49126643,Wildfire
4140,1149,CO4038810818620120710,CEDAR KNOB,2012,7,10,14870.6428269779,8020607.55030577,Wildfire
4141,1582,CO3816910855919990627,BRAMIERS,1999,6,27,40348.6715907622,10377666.7248803,Wildfire
4142,2294,CO3817710507320121023,WETMORE,2012,10,23,37389.4369270152,15058215.9028867,Wildfire
4143,9607,CO3940110536120000612,HIGH MEADOWS,2000,6,12,60587.8909376582,65198136.9414133,Wildfire
4144,1848,CO3941710872719940626,BUNIGER CANYON,1994,6,26,24940.1588539297,12546474.3282415,Wildfire
4145,2080,CO3942310550620020423,SNAKING,2002,4,23,25970.9831670168,14127490.4438971,Wildfire
4146,3839,CO3942710800419870707,BATTLEMENT,1987,7,7,41800.6452907743,26070197.5653571,Wildfire
4147,1072,CO4001510841219990717,PINTO MESA,1999,7,17,24093.5334739667,7406009.10722622,Prescribed Fire
4148,5865,CO4005110538520100906,FOURMILE CANYON,2010,9,6,51394.2899270914,40555356.3815009,Wildfire
4149,2894,CO4005610807720050707,PACK TRAIL WFU,2005,7,7,38820.3312629542,20015526.9168825,Wildfire
4150,2598,CO3720010848720020729,LONG MESA,2002,7,29,36892.5825582968,16604420.9323761,Wildfire
4151,6233,CO3721210402120110530,PURGATOIREFIRE,2011,5,30,74034.1271869177,39858628.3177649,Wildfire
4152,4505,CO3721610411219890313,UNNAMED,1989,3,13,46359.9786934071,28800499.5129639,Wildfire
4153,2747,CO3819510502420000409,PSFRXASST1,2000,4,9,24230.6352159815,18027867.3596514,Prescribed Fire
4154,3760,CO3820610824519900627,HORESEFLY,1990,6,27,32708.310396275,24682626.7681435,Wildfire
4155,5339,CO3823210375820080415,ORDWAY CROWLEY CO,2008,4,15,65633.5043979872,35071354.0448749,Wildfire
4156,4705,CO3823310568320110612,DUCKETT,2011,6,12,46065.3970512781,30925686.2596095,Wildfire
4157,1038,CO3825210820820110803,BIGA,2011,8,3,16009.1118490588,6825150.32299138,Wildfire
4158,3436,CO3943610521720120326,LOWER NORTH FORK FIRE,2012,3,26,30131.3327746425,23352184.8603555,Wildfire
4159,1376,CO3944610891020020608,LONG CANYON,2002,6,8,23955.0107250793,9346841.12381472,Wildfire
4160,1226,CO3947210747719890925,CENTER MTN,1989,9,25,21924.9997699852,8336020.12057795,Wildfire
4161,1679,CO3947310779819880717,FLAT IRON,1988,7,17,19554.862187409,11420633.6461657,Wildfire
4162,1376,CO4005710846919890708,BARCUS,1989,7,8,16406.9415380567,9515292.29586165,Wildfire
4163,2046,CO4006010845520010812,JELLY,2001,8,12,36896.8550787362,14147980.0598077,Wildfire
4164,1655,CO4006910862820000720,SWITCHBACK,2000,7,20,21022.9683652997,11447159.2242505,Wildfire
4165,5298,CO3722210895719860621,HOGAN,1986,6,21,52615.615128609,33857286.4184767,Wildfire
4166,23317,CO3722510840420000720,BIRCHER,2000,7,20,87819.3731897708,149186474.976094,Wildfire
4167,2660,CO3724210853919890708,LONG MESA,1989,7,8,31726.478158003,17017646.5424704,Wildfire
4168,2039,CO3827610255319940723,UNNAMED,1994,7,23,24494.4858142633,13411218.4108207,Wildfire
4169,17978,CO3829210583320160708,HAYDEN PASS,2016,7,8,85030.6739822501,118304610.762596,Wildfire
4170,1730,CO3830010901119940713,WRAY,1994,7,13,16757.868141298,11387232.0055924,Wildfire
4171,3955,CO3833310547320020602,IRON MOUNTAIN,2002,6,2,35053.8743345273,26051267.3949839,Wildfire
4172,1103,CO3947710493720031029,CHEROKEE RANCH,2003,10,29,17561.835323054,7504322.83190504,Wildfire
4173,1169,CO3955610698620010418,OLD MAN,2001,4,18,31627.3378071962,7971459.97038695,Prescribed Fire
4174,12004,CO3956910737320020608,COAL SEAM,2002,6,8,119901.808781178,81855535.3707512,Wildfire
4175,2014,CO3957610740619940703,SO. CANYON,1994,7,3,19739.923801021,13738005.8615353,Wildfire
4176,1269,CO3959010746220070618,NEWCASTLE,2007,6,18,14199.9503069772,8657814.59452079,Wildfire
4177,5888,CO4008910718920020713,LOST LAKES,2002,7,13,45776.2155559671,40754949.2914622,Wildfire
4178,1351,CO4009010845220010704,GREASEWOOD COMPLEX,2001,7,4,24488.9737103408,9351986.40331559,Wildfire
4179,4832,CO3724610848119960818,CHAPIN #5,1996,8,18,29620.5109860038,30915337.0330654,Wildfire
4180,1171,CO3725510752320010518,UNNAMED,2001,5,18,24574.0170164763,7488929.31975016,Unknown
4181,10898,CO3726810830320120622,WEBER,2012,6,22,55635.8429388279,69830686.1870489,Wildfire
4182,1189,CO3727210826619900628,MENEFEE,1990,6,28,17762.2449688001,7610107.91745687,Wildfire
4183,1843,CO3734910789619960605,UNNAMED,1996,6,5,18528.2081436899,11821757.5746706,Unknown
4184,2282,CO3835010842420020520,BUCKTAIL,2002,5,20,20892.3869097214,15039419.388009,Wildfire
4185,1618,CO3839310848720020520,47,2002,5,20,15601.967972453,10675180.3816824,Wildfire
4186,1002,CO3840110850120090829,TABAGUACHE CREEK,2009,8,29,13725.5550140283,6613096.88700188,Wildfire
4187,1586,CO3840710901420060620,LION CREEK,2006,6,20,17610.0090880185,10466704.4550745,Wildfire
4188,1322,CO3966910700920030711,DOTSERO CRATER,2003,7,11,19506.3911938125,9042239.64776474,Wildfire
4189,11668,CO3969510747920020622,SPRING CREEK,2002,6,22,55439.5987052593,79850115.1131363,Wildfire
4190,1432,CO3970610755420100628,MEADOW CREEK,2010,6,28,26361.6995362555,9800072.49690904,Prescribed Fire
4191,17959,CO3974110359220120625,LAST CHANCE,2012,6,25,97980.938296216,123181324.034042,Wildfire
4192,1153,CO3975310887720130619,WILD ROSE,2013,6,19,12580.9656345006,7909536.72751906,Wildfire
4193,1453,CO4009210904019990625,WALSH KNOLLS,1999,6,25,31497.4195188126,10055407.8742207,Wildfire
4194,4042,CO4009610841220020730,NORTH BARCUS,2002,7,30,27687.7416754962,27988055.4257442,Wildfire
4195,1898,CO3735310790120020716,UNNAMED,2002,7,16,28920.5069819545,12176739.1461975,Unknown
4196,1732,CO3739510399220160317,MSR 2,2016,3,17,20723.0012769031,11124108.9933205,Wildfire
4197,4429,CO3841910856620040730,CAMPBELL,2004,7,30,34605.0935893736,29245325.3227726,Wildfire
4198,5905,CO3843610898920120525,SUNRISE MINE,2012,5,25,63620.4899286439,39031794.9448327,Wildfire
4199,1875,CO3844010410520020608,UNNAMED,2002,6,8,22476.4607260748,12384792.9580772,Unknown
4200,25771,CO3844910432919860326,UNNAMED,1986,3,26,74038.7028459024,170295656.830901,Wildfire
4201,1640,CO3976210526320110320,INDIANGULCHFIRE,2011,3,20,22704.8695289904,11243549.9309011,Wildfire
4202,3617,CO3976410822120000722,SCANDARD,2000,7,22,29912.378208788,24799716.0889252,Wildfire
4203,2123,CO4011310867520000528,TAYLOR,2000,5,28,26016.6717251468,14709151.2759451,Wildfire
4204,1063,CO4011910832820160629,BLAIR,2016,6,29,20626.3523608742,7364720.37792163,Wildfire
4205,1092,CO4012010532619880907,CANYON,1988,9,7,17594.7801247168,7569005.67913606,Wildfire
4206,4370,CO3739910480620060107,MAURICIO CANYON,2006,1,7,40672.0502681482,28073883.2587976,Wildfire
4207,3529,CO3740110409020080703,UNNAMED,2008,7,3,43366.1550585105,22670780.5014204,Unknown
4208,26241,CO3740210724320120513,LITTLE SAND,2012,5,13,95833.8064746049,168708604.233046,Wildfire
4209,3290,CO3845410535020130611,ROYAL GORGE,2013,6,11,34217.551250582,21749287.2139948,Wildfire
4210,2147,CO3852510518019880721,DINOSAUR,1988,7,21,21995.953594127,14215097.3993639,Wildfire
4211,1583,CO3979310847319990930,WAGON ROAD,1999,9,30,25093.4868703761,10867213.2736485,Wildfire
4212,1516,CO3979410843120030616,YANKEE GULCH,2003,6,16,23554.405349763,10402390.3280141,Wildfire
4213,1739,CO3983410781120160329,RX MILLER CREEK-HAY FLATS,2016,3,29,41922.3880723944,11958136.6907205,Prescribed Fire
4214,4046,CO4012010847119890715,BURNED OUT,1989,7,15,41240.1109588402,28035686.3095878,Wildfire
4215,1305,CO4012210532619890709,UNNAMED,1989,7,9,17150.2143391164,9039204.37482725,Wildfire
4216,2764,CO3741010757920121016,VALLECITO,2012,10,16,31791.9652432044,17765080.4647397,Wildfire
4217,1327,CO3743010682020130927,UNNAMED,2013,9,27,20104.5842483256,8536666.03227701,Prescribed Fire
4218,1150,CO3744710221719960508,UNNAMED,1996,5,8,22699.8116861437,7395883.63265927,Unknown
4219,68919,CO3744910767720020609,MISSIONARY RIDGE,2002,6,9,323633.92326241,442773577.446422,Wildfire
4220,10082,CO3745910490420130619,EAST PEAK,2013,6,19,66355.9231621812,64816006.4492292,Wildfire
4221,18776,CO3746210694320130605,WEST FORK COMPLEX,2013,6,5,78771.3927611849,120991616.001212,Wildfire
4222,2424,CO3853710472820110629,YOUNGHOLLOW,2011,6,29,26572.9916735601,16061722.0550276,Wildfire
4223,2200,CO3854810481320020608,UNNAMED,2002,6,8,26211.881713542,14576040.999717,Unknown
4224,19918,CO3855210472420160128,IMPACT AREA,2016,1,28,54637.257523693,132112573.962548,Wildfire
4225,1475,CO3855610849120000529,HALEY,2000,5,29,20813.2932548958,9777154.80368325,Wildfire
4226,4911,CO3871610435320020608,UNNAMED,2002,6,8,25957.9664384983,32690633.2685635,Unknown
4227,2530,CO3871810307320031010,UNNAMED,2003,10,10,36046.9994849392,16844338.1747591,Wildfire
4228,1832,CO4013010863019940626,FLETCHER2,1994,6,26,34194.4908999302,12694272.1311423,Wildfire
4229,3232,CO4013210535120031030,OVERLAND,2003,10,30,29735.6426610836,22400913.5955817,Wildfire
4230,1367,CO3746610353820160616,PLUM CANYON,2016,6,16,22788.1245481987,8798161.95610262,Wildfire
4231,14159,CO3747210346920110607,SHELLCOMPLEX,2011,6,7,64833.7590504658,91165208.3830055,Wildfire
4232,1719,CO3748810283919940705,UNNAMED,1994,7,5,27156.8662415563,11064064.796242,Wildfire
4233,1866,CO3750410751520030706,BEAR CREEK WFU,2003,7,6,29615.5486939483,12022318.40014,Wildland Fire Use
4234,1150,CO3753110888320000722,HOVENWEEP,2000,7,22,15645.6472529126,7412558.78716482,Wildfire
4235,4903,CO3855710456620020503,HANOVER,2002,5,3,37666.3285800164,32498568.9915036,Wildfire
4236,1578,CO3856310850620160614,KELSO,2016,6,14,28770.6855860497,10457965.9467974,Wildfire
4237,3235,CO3872510858620090711,DOMINGUEZ,2009,7,11,25734.4834452686,21539001.4864426,Wildfire
4238,2104,CO3872810860220100712,DOMINGUEZ,2010,7,12,42950.6031928998,14008504.8665314,Wildfire
4239,2525,CO4013410803320090421,EAST JORDAN RX,2009,4,21,26798.674908027,17503391.1835438,Prescribed Fire
4240,8688,CO4015910342120020601,UNNAMED,2002,6,1,70151.5514049947,60223839.9213534,Wildfire
4241,2047,CO3753810397920010708,UNNAMED,2001,7,8,20242.1862457834,13195882.8044146,Unknown
4242,46612,CO3756110376220080607,BRIDGER,2008,6,7,122284.089332079,300711218.728822,Wildfire
4243,36864,CO3756710383820110605,BEARSPRINGS,2011,6,5,115713.130444314,237894989.838365,Wildfire
4244,34441,CO3758810686320130605,WEST FORK COMPLEX - EAST ZONE,2013,6,5,224211.022427529,222539494.465381,Wildfire
4245,9393,CO3759610365120110607,CALLIEMARIE,2011,6,7,77458.768336129,60629047.8400699,Wildfire
4246,13126,CO3761310527620060618,MATO VEGA,2006,6,18,75093.3928339306,84740436.020505,Wildfire
4247,10233,CO3762410359319960401,CANYON,1996,4,1,127059.160424251,66127139.4088664,Wildfire
4248,7424,CO3763510662120020619,MILLION,2002,6,19,50247.9292289096,47985609.1346295,Wildfire
4249,1359,CO3856910431520000815,UNNAMED,2000,8,15,21064.5490694826,9010637.29597745,Wildfire
4250,18218,CO3857910476519980325,UNNAMED,1998,3,25,73491.0180472722,120819733.444138,Unknown
4251,6568,CO3872910454220020506,MILNE/SQUIRREL,2002,5,6,38422.8883642224,43739933.1686474,Wildfire
4252,1106,CO3874110535020080627,NASH RANCH,2008,6,27,12619.1316141938,7370953.39006684,Wildfire
4253,5322,CO3874510365520110324,KARVAL,2011,3,24,67384.5485125747,35415188.6506885,Wildfire
4254,2692,CO3876010460719960224,UNNAMED,1996,2,24,28707.5139149249,17945516.2734946,Wildfire
4255,3399,CO4020910894720090807,MELLEN,2009,8,7,34418.6635882623,23611449.927247,Wildfire
4256,2390,CO4021910838720020622,PINYON RIDGE,2002,6,22,25017.0624512152,16610616.3371031,Wildfire
4257,2549,CO3763910864320090802,BRADFIELD,2009,8,2,18232.4959106934,16478429.8461641,Wildfire
4258,1524,CO3764110373620080414,SNAKEWEED,2008,4,14,18259.8266760664,9853113.12422377,Wildfire
4259,1733,CO3765110836820160621,LONG DRAW,2016,6,21,24971.5233182694,11205900.4097528,Wildfire
4260,1335,CO3765510864719840706,UNNAMED,1984,7,6,20083.7935622376,8634565.77464191,Unknown
4261,2386,CO3858110433020020608,UNNAMED,2002,6,8,32429.7199391427,15826573.9797695,Unknown
4262,1874,CO3858610485820160220,SULLIVAN PARK,2016,2,20,31637.7417162343,12414395.2280569,Wildfire
4263,2451,CO3880110362120160219,PUMKIN CENTER,2016,2,19,30891.9440916907,16391002.6528935,Wildfire
4264,1109,CO3882910401420020608,UNNAMED,2002,6,8,18808.2151516129,7402861.84023534,Unknown
4265,1612,CO3886310417420020306,UNNAMED,2002,3,6,15971.4075458636,10776758.8205785,Wildfire
4266,1857,CO4023510902719880717,DINOSAUR,1988,7,17,32185.0343170943,12907177.490642,Wildfire
4267,3450,CO4026110893719880717,HOME,1988,7,17,47740.2548622672,24007010.6655753,Wildfire
4268,3085,CO4027310833219870723,GADFLY,1987,7,23,31609.8534117297,21469843.2188119,Wildfire
4269,1030,CO3766210355320110723,WITHERSCANYON,2011,7,23,16368.3718815146,6660756.8142978,Wildfire
4270,7798,CO3768910866020090807,NARRAGUINNEP,2009,8,7,49341.8575839496,50479540.4666942,Wildfire
4271,46991,CO3769910713620130605,PAPOOSE,2013,6,5,299867.715123973,304276713.933236,Wildfire
4272,6078,CO3770310335220110603,SALT,2011,6,3,60799.8710804617,39460634.4059938,Wildfire
4273,1911,CO3771310553120000418,SAND,2000,4,18,40590.7486389383,12381452.6065832,Wildfire
4274,4708,CO3860510899020000703,CONE MOUNTAIN,2000,7,3,38514.6407528923,31245527.3850438,Wildfire
4275,1396,CO3861110699720020623,WILEY RIDG,2002,6,23,16679.5178023531,9265758.75048337,Wildfire
4276,8253,CO3861310485820080416,TA-25,2008,4,16,75570.3535290065,54783947.890833,Wildfire
4277,3834,CO3886410767219940704,WAKE,1994,7,4,40696.9358121779,25634202.588973,Wildfire
4278,20112,CO3888410493320120623,WALDO CANYON,2012,6,23,96342.2270278425,134689744.418442,Wildfire
4279,1666,CO3894510543620120617,SPRINGER,2012,6,17,19992.3694585978,11158114.4048152,Wildfire
4280,2998,CO3895110784320040703,MCGRUDER,2004,7,3,30681.2580485928,20088121.5580558,Wildfire
4281,1895,CO4028410821720130721,CITADEL,2013,7,21,26905.6297504884,13191538.7686019,Wildfire
4282,6749,CO4028510839520120803,WOLF,2012,8,3,74431.9742764408,46975598.0766154,Wildfire
4283,4347,CO4028710541720020717,BIG ELK,2002,7,17,28919.5052985829,30269472.3470291,Wildfire
4284,1083,CO3715210689620050622,RIO BLANCO WFU,2005,6,22,17919.5458790221,6909455.18983822,Wildfire
4285,1542,CO3716610821520020812,CHERRY CRE,2002,8,12,24572.1173666278,9846600.35119223,Wildfire
4286,2305,CO3717510843620030715,MOCCASIN,2003,7,15,42164.7120179981,14718960.5260168,Wildfire
4287,1367,CO3866110434820020608,UNNAMED,2002,6,8,17700.9803125777,9086267.0877465,Unknown
4288,5141,CO3866310477820090303,QUARRY,2009,3,3,40522.2691540726,34175249.6657044,Wildfire
4289,2058,CO3867710886220010710,BULL HILL,2001,7,10,21921.6387527584,13684790.3723332,Wildfire
